epoch,loss,accuracy
1,2.7937049865722656,0.6148392558097839
2,1.8640267848968506,0.6913148164749146
3,1.2655054330825806,0.7534207701683044
4,0.8760175704956055,0.8106276988983154
5,0.6532669067382812,0.8504029512405396
6,0.504401445388794,0.8797515034675598
7,0.3936367630958557,0.9034865498542786
8,0.3106621205806732,0.921920895576477
9,0.25052061676979065,0.9358870387077332
10,0.20628468692302704,0.9462010860443115
11,0.1728927195072174,0.9540798664093018
12,0.14876490831375122,0.9601614475250244
13,0.13049115240573883,0.9644821286201477
14,0.11734181642532349,0.967567503452301
15,0.10573051869869232,0.9704456329345703
16,0.09693347662687302,0.9725619554519653
17,0.09147287160158157,0.9738063216209412
18,0.08541183918714523,0.975380003452301
19,0.08137042820453644,0.9763305187225342
20,0.07823961228132248,0.9771372079849243
21,0.07474669814109802,0.9780104756355286
22,0.07273336499929428,0.9784559011459351
23,0.06982660293579102,0.9791573286056519
24,0.06889766454696655,0.9792469143867493
25,0.06645338982343674,0.9799668788909912
26,0.06510450690984726,0.9803325533866882
27,0.06550809741020203,0.9801945090293884
28,0.06408105790615082,0.9805291891098022
29,0.06220526993274689,0.9811111688613892
30,0.06225639954209328,0.9809516668319702
31,0.060937777161598206,0.9812939763069153
32,0.06051679328083992,0.9812718033790588
33,0.05995681509375572,0.9814247488975525
34,0.05988193303346634,0.9814378619194031
35,0.05999073386192322,0.9814633131027222
36,0.05856568366289139,0.981748104095459
37,0.05844413489103317,0.9817219376564026
38,0.05882088840007782,0.9817022681236267
39,0.05860116332769394,0.9816028475761414
40,0.057316090911626816,0.9820303916931152
41,0.058395612984895706,0.9817171692848206
42,0.057507388293743134,0.9820303916931152
43,0.05755564570426941,0.9818443059921265
44,0.05820685997605324,0.9817160964012146
45,0.05752807855606079,0.9819291234016418
